WKT,AbeachID,SPLocation,Description,County,Boundary,ExtentsWKT
"POINT(0 0)","None","1","1","",Harvest Area 1,""
"POINT(0 0)","None","2","2","",Harvest Area 2,""
"POINT(0 0)","None","3","3","",Harvest Area 3,""
"POINT(0 0)","None","4","4","",Harvest Area 4,""
"POINT(0 0)","None","5","5","",Harvest Area 5,""
"POINT(0 0)","None","6A","6A","",Harvest Area 6A,""
"POINT(0 0)","None","6B","6B","",Harvest Area 6B,""
"POINT(0 0)","None","7","7","",Harvest Area 7,""
"POINT(0 0)","None","8","8","",Harvest Area 8,""
"POINT(0 0)","None","9A","9A","",Harvest Area 9A,""
"POINT(0 0)","None","9B","9B","",Harvest Area 9B,""
"POINT(0 0)","None","10A","10A","",Harvest Area 10A,""
"POINT(0 0)","None","10B","10B","",Harvest Area 10B,""
"POINT(0 0)","None","11","11","",Harvest Area 11,""
"POINT(0 0)","None","12A","12A","",Harvest Area 12A,""
"POINT(0 0)","None","12B","12B","",Harvest Area 12B,""
"POINT(0 0)","None","13","13","",Harvest Area 13,""
"POINT(0 0)","None","14","14","",Harvest Area 14,""
"POINT(0 0)","None","15","15","",Harvest Area 15,""
"POINT(0 0)","None","16A","16A","",Harvest Area 16A,""
"POINT(0 0)","None","16B","16B","",Harvest Area 16B,""
"POINT(0 0)","None","17","17","",Harvest Area 17,""
"POINT(0 0)","None","18","18","",Harvest Area 18,""
"POINT(0 0)","None","19","19","",Harvest Area 19,""
"POINT(0 0)","None","20","20","",Harvest Area 20,""